table,status,rows_loaded
companies,Loaded,92
profitandloss,Loaded,1177
balancesheet,Loaded,1227
cashflow,Loaded,1091
analysis,Loaded,16
documents,Loaded,1457
financial_ratios,Loaded,1193
market_cap,Loaded,552
peer_groups,Loaded,56
prosandcons,Loaded,14
sectors,Loaded,92
stock_prices,Loaded,5520
